GT BAROMETRIC PRESSURE,GT COMPRESSOR INLET AIR TEMPERATURE,GT COMPRESSOR OUTLET AIR TEMPERATURE,GT EXHAUST GAS AVERAGE TEMPERATURE (EXHAUST),GT EXHAUST GAS DUCT PRESSURE,GT ACTLD,GT IGV POSITION,GT MAIN A FUEL GAS FLOW,»»÷µ
901.4,20.6,444.8,586.5,3.009,259.93,74.44,4,35.005
901.4,21.4,445,588,2.9791,259.56,74.48,4,34.989
901.3,21.1,445.2,587.6,2.9884,259.72,74.41,4,34.993
901.2,21.3,445.2,588.8,2.9911,259.83,74.47,4,34.985
901.2,21.5,445.2,588.6,2.9752,259.51,74.41,4,34.984
901.2,21.1,445.5,588.3,2.9898,259.51,74.42,4,34.991
901.2,21.5,445.5,588.5,2.986,259.4,74.46,4,35.006
901.1,21,445.3,587.2,2.9915,259.25,74.42,4,34.982
901.1,21.4,445.7,588.4,2.9863,259.67,74.44,4,34.988
901,21.8,445.8,589.5,2.9695,259.72,74.45,4,34.986
901,21,445.6,587.8,2.9996,259.3,74.38,4,34.981
900.9,21.4,446.1,589.1,2.975,259.35,74.42,4,34.991
900.8,21.1,445.6,588,2.993,259.46,74.4,4,34.968
900.8,21.3,445.9,588.5,2.9959,259.51,74.47,4,34.993
900.7,21.8,446,589.8,2.9766,259.56,74.41,4,34.98
900.6,21.9,446.3,590.3,2.9681,259.51,74.41,4,34.99
900.7,22.4,447.5,592.3,2.9653,259.46,74.4,4,34.997
900.7,22.5,447.6,592.8,2.9496,258.88,74.4,4,34.985
900.7,21.8,447,590.2,2.9803,259.09,74.45,4,34.995
900.7,21.7,446.9,589.9,2.9805,258.72,74.41,4,34.99
900.6,21.9,446.4,589.9,2.9719,259.14,74.46,4,34.98
900.6,21.9,446.9,591.3,2.966,259.46,74.42,4,34.981
900.6,21.6,446.4,590,2.9791,259.88,74.42,4,34.98
900.4,21.9,446.4,590.5,2.9799,259.14,74.4,4,34.971
900.5,22,446.7,591.1,2.9762,259.35,74.43,4,34.986
900.5,22.2,446.9,591.5,2.9676,259.46,74.44,4,34.979
900.5,22,446.6,591.1,2.9751,259.3,74.43,4,34.976
900.5,21.6,446.8,590.6,2.976,259.25,74.45,4,34.981
900.5,21.6,446.2,590,2.9749,259.2,74.44,4,34.969
900.6,21.5,446.3,589.8,2.9868,259.67,74.43,4,34.97
900.6,21.7,446.4,590.1,2.9729,259.56,74.45,4,34.984
900.6,21.4,446.3,589.3,2.9936,259.4,74.44,4,34.965
900.6,21.6,446.3,589.6,2.9829,259.14,74.47,4,34.99
900.6,21.2,446.2,588.9,2.9837,259.3,74.45,4,34.965
900.6,21.2,445.8,588.8,2.9855,259.25,74.43,4,34.986
900.5,21.3,445.9,588.7,2.9941,259.51,74.45,4,34.977
900.6,21.3,446.1,589,2.9791,259.2,74.39,4,34.973
900.6,21.1,445.9,588.8,2.9891,259.51,74.46,4,34.965
900.5,21.4,445.9,589.2,2.9766,259.25,74.4,4,34.94
900.6,21.2,445.8,588.7,2.9864,259.51,74.41,4,34.984
900.6,21.3,445.8,588.7,2.9818,259.3,74.45,4,34.969
900.5,21.9,446.1,590.1,2.9663,259.25,74.44,4,34.969
900.5,21.7,446.5,590.6,2.9857,259.62,74.43,4,34.974
900.5,22.1,446.9,591.4,2.9725,259.51,74.44,4,34.97
900.6,22,446.6,590.5,2.9702,258.77,74.39,4,34.973
900.6,22,447,590.8,2.9748,259.51,74.42,4,34.985
900.7,21.7,446.6,590.2,2.9747,259.04,74.41,4,34.983
900.7,21.3,446.2,588.8,2.9852,258.77,74.46,4,34.977
900.7,21.3,445.8,588.4,2.9905,259.25,74.44,4,34.978
900.7,21.3,445.9,588.3,2.9894,259.25,74.46,4,34.973
900.7,21.2,445.7,588.5,2.9939,259.62,74.43,4,34.965
900.7,21.2,445.7,588,2.9895,259.25,74.42,4,34.973
900.7,21.1,445.5,587.8,2.995,259.14,74.39,4,34.969
900.7,21.1,445.7,587.2,2.9948,259.09,74.45,4,34.988
900.8,21.1,445.5,587.3,2.9907,259.09,74.41,4,34.973
900.7,21,445.4,587.2,2.9993,259.2,74.43,4,34.977
900.7,21,445.4,587.4,2.9915,259.14,74.43,4,34.973
900.8,20.9,445.3,587.2,2.9955,258.72,74.46,4,34.982
900.8,20.9,445.2,586.9,2.9939,259.3,74.44,4,34.972
900.8,20.9,445.1,587,2.9899,259.09,74.4,4,34.981
900.8,21,445,587.4,2.9905,259.67,74.42,4,34.981
900.8,20.9,445,587.1,3.0085,259.51,74.46,4,34.975
900.9,21,445.1,587.3,2.9828,259.35,74.38,4,34.972
900.9,21,445,587,2.9907,258.62,74.46,4,34.969
900.9,21,445,587.1,2.9929,258.83,74.43,4,34.986
900.9,21,445.2,587.2,2.9967,259.4,74.4,4,34.989
900.9,21,445.3,588.6,2.9975,263.08,74.48,4.1,34.985
901,20.9,446.4,598.3,3.0093,269.07,74.39,4.1,34.998
901,20.9,446.8,600.3,3.0188,268.75,74.42,4.1,34.982
901.1,20.9,446.7,600.2,3.0152,268.43,74.45,4,34.981
901.2,20.9,446.9,600.6,3.0154,268.02,74.43,4,34.982
901.2,21,446.9,600.7,3.0097,267.44,74.41,4.1,34.973
901.2,20.9,446.9,600.3,3.0164,268.65,74.47,4,34.981
901.2,20.9,446.9,600.7,3.0088,267.6,74.46,4,34.993
901.2,20.9,446.7,600.7,3.013,267.7,74.44,4,34.986
901.3,20.7,446.6,600.5,3.0173,267.75,74.42,4.1,34.981
901.3,20.6,446.5,600.5,3.0128,268.49,74.46,4.1,34.981
901.3,20.4,446.4,600,3.03,268.7,74.44,4.1,34.996
901.3,19.8,446,599.6,3.0463,270.64,74.43,4.1,34.975
901.3,19,445.3,599.2,3.065,271.01,74.47,4.1,34.979
901.3,19.7,445.1,599.8,3.0458,269.9,74.42,4.1,34.976
901.4,19.5,445.5,599.1,3.0532,271.27,74.45,4.1,34.989
901.4,19,445,599,3.0587,271.17,74.44,4.1,34.981
901.5,18.3,444.1,598.8,3.0752,272.58,74.46,4.1,34.981
901.5,17.9,443.5,598.2,3.0965,273.16,74.47,4.1,34.981
901.6,17.9,443.1,598.6,3.0916,273.16,74.45,4.1,34.985
901.6,18,443,598.6,3.0877,273.16,74.39,4.1,34.993
901.7,17.8,443,598.1,3.0985,274.16,74.44,4.1,34.978
901.7,17.9,443.1,598.4,3.0956,273.48,74.45,4.1,34.99
901.7,17.9,443.3,598.5,3.0921,273.42,74.42,4.1,34.99
901.8,17.9,443,598.5,3.092,273.63,74.45,4.1,34.985
901.8,18,443.3,597.9,3.0871,273.79,74.44,4.1,35
901.8,18,443.6,598.4,3.0886,273.42,74.46,4.1,34.99
901.8,18.1,443.5,598.4,3.0878,273.42,74.43,4.1,34.994
901.9,17.9,443.5,598.3,3.0917,273.21,74.44,4.1,34.99
901.9,17.7,443.3,598.2,3.1051,274.26,74.47,4.1,34.989
902,18,443.2,598.1,3.097,273.74,74.46,4.1,35.007
902,17.6,442.9,598.3,3.0977,274.16,74.44,4.1,34.997
902.1,17.9,443.1,598.6,3.088,273.68,74.41,4.1,34.989
902.2,18,443,598.5,3.0894,273.37,74.44,4.1,34.994
902.2,18,443.1,598.1,3.0931,273.63,74.42,4.1,34.999
902.2,18,443.2,598.4,3.0949,273.68,74.44,4.1,34.987
902.2,18.2,443.3,598.6,3.0848,273.42,74.41,4.1,34.998
902.3,17.5,443,597.9,3.1078,274.79,74.44,4.1,34.989
902.3,17.8,442.9,598.3,3.0983,274.16,74.42,4.1,34.981
902.4,17.6,442.7,598,3.104,274.26,74.46,4.1,34.977
902.5,18,442.8,598,3.0913,273.74,74.45,4.1,34.981
902.5,17.9,442.9,598.7,3.0899,273.74,68.87,3.9,34.985
902.5,18.7,442,583.8,2.9525,249.43,56.08,3.8,34.978
902.6,18.8,434,575.2,2.6429,233.52,50.01,3.7,34.973
902.6,19.1,430.1,571.9,2.5343,223.44,45.1,3.6,34.969
902.7,19.5,426.5,572.8,2.4203,217.67,46.79,3.7,34.971
902.7,17.7,423.6,572.8,2.4656,221.81,47.48,3.7,34.987
902.8,17.4,423.1,571.7,2.4763,222.81,47.96,3.7,34.977
902.8,17.5,422.9,571,2.4894,223.39,47.64,3.7,34.97
902.9,16.9,423.3,569.9,2.4989,223.6,47.16,3.7,34.973
902.9,16.3,422,568.9,2.4968,224.02,40.13,3.6,34.969
902.9,15.9,419.7,567.5,2.3634,212.63,32.94,3.5,34.981
902.9,15.9,414.9,566.5,2.1961,200.4,34.57,3.5,34.985
903,16.2,413.1,569.3,2.1998,203.44,34.92,3.5,34.964
903,16.1,413.1,569.1,2.2138,204.44,35.22,3.5,34.977
903.1,16,413.3,568.9,2.2246,205.38,35.56,3.5,34.98
903.1,16.4,413.4,568.9,2.2214,204.7,35.46,3.5,34.973
903.1,16.3,413.8,568.6,2.225,204.65,34.92,3.5,35.002
903.1,15.7,412.9,567.6,2.2193,204.23,34.63,3.5,34.985
903.1,15.2,412.3,566.9,2.222,204.54,34.69,3.5,34.986
903.1,15.1,411.8,566.9,2.2181,204.28,34.81,3.5,34.965
903.2,15.1,411.6,566.8,2.2228,204.7,35.22,3.5,34.973
903.2,15.2,411.4,567.3,2.2287,205.7,35.24,3.5,34.989
903.2,15.4,411.7,567.4,2.2284,205.54,35.43,3.5,34.963
